PID,Turnaround,Waiting,Response
200,216,214,214
200,965,958,244
201,205,204,204
201,240,239,239
201,1071,1062,240
201,219,217,217
201,594,591,246
202,731,726,204
202,580,576,238
202,1072,1062,241
202,221,219,219
202,250,249,249
203,1106,1090,205
203,979,972,239
203,586,583,244
203,222,220,220
203,249,248,248
204,732,726,206
204,240,239,239
204,586,583,245
204,760,754,222
204,1124,1113,249
205,525,522,205
205,241,240,240
205,807,802,246
205,225,223,223
205,253,251,251
206,526,523,207
206,819,814,237
206,807,802,247
206,906,898,226
206,253,252,252
207,526,522,209
207,579,576,238
207,1138,1126,250
207,1008,999,231
207,252,251,251
208,864,857,210
208,1125,1114,241
208,249,248,248
208,1253,1223,229
208,255,253,253
209,214,212,212
209,243,242,242
209,1230,1209,249
209,229,228,228
209,1240,1220,254
210,1020,1009,213
210,1124,1113,243
210,806,801,251
210,233,232,232
210,1055,1045,254
211,864,856,214
211,1208,1191,245
211,807,802,253
211,234,233,233
211,593,589,256
212,865,858,216
212,967,960,245
212,256,254,254
212,235,233,233
212,1220,1202,257
213,219,218,218
213,1160,1147,245
213,1200,1184,256
213,760,754,235
213,261,259,259
214,529,526,218
214,967,959,247
214,808,803,258
214,546,542,236
214,1116,1104,260
215,1141,1116,220
215,967,960,249
215,1058,1049,258
215,903,896,238
215,262,261,261
216,728,722,223
216,967,960,250
216,1060,1050,260
216,551,547,243
216,264,263,263
217,1054,1041,222
217,589,585,251
217,263,262,262
217,549,545,241
217,592,589,261
218,226,224,224
218,1217,1193,253
218,264,263,263
218,1212,1191,244
218,265,263,263
219,1012,1000,225
219,822,816,256
219,1056,1047,261
219,551,548,246
219,590,586,263
220,229,227,227
220,587,583,252
220,266,264,264
220,552,549,248
220,1044,1034,265
221,530,527,229
221,588,585,254
221,952,945,265
221,1179,1161,247
221,268,267,267
222,1012,1000,231
222,589,585,257
222,268,267,267
222,754,748,247
222,270,268,268
223,233,232,232
223,1146,1132,259
223,950,942,267
223,251,250,250
223,1101,1090,269
224,860,853,233
224,960,952,260
224,594,591,269
224,896,889,250
224,805,800,272
225,237,236,236
225,960,953,263
225,594,591,272
225,253,252,252
225,805,800,273
226,533,529,236
226,590,586,263
226,275,274,274
226,896,889,253
226,275,273,273
227,1118,1096,237
227,265,263,263
227,945,938,274
227,755,750,254
227,589,586,274
228,239,238,238
228,1089,1078,264
228,595,592,275
228,553,549,255
228,942,935,276
229,240,238,238
229,1030,1021,266
229,279,278,278
229,553,549,256
229,942,935,277
230,532,528,241
230,269,268,268
230,803,798,279
230,749,743,256
230,590,587,277
231,241,240,240
231,1026,1017,268
231,282,281,281
231,1161,1144,253
231,279,277,277
232,722,717,243
232,945,937,268
232,283,281,281
232,256,255,255
232,587,584,278
233,242,241,241
233,271,269,269
233,594,590,279
233,1053,1041,257
233,1023,1013,280
234,242,240,240
234,587,584,272
234,1098,1086,280
234,1052,1041,257
234,589,585,281
235,244,242,242
235,273,272,272
235,282,280,280
235,983,973,260
235,284,283,283
236,923,913,241
236,937,930,273
236,932,925,280
236,978,969,259
236,283,282,282
237,243,241,241
237,799,793,274
237,284,282,282
237,554,551,262
237,283,281,281
238,1020,1006,242
238,587,584,275
238,930,923,285
238,751,745,263
238,284,283,283
239,922,913,245
239,933,926,276
239,285,284,284
239,1090,1076,263
239,285,283,283
240,521,518,246
240,586,583,278
240,591,587,284
240,267,266,266
240,1066,1054,285
241,250,248,248
241,589,585,281
241,287,286,286
241,751,746,267
241,288,287,287
242,923,913,250
242,928,920,281
242,590,587,285
242,270,268,268
242,289,288,288
243,713,707,252
243,795,790,282
243,591,587,286
243,271,270,270
243,1099,1085,284
244,527,523,254
244,590,587,283
244,787,781,288
244,1040,1028,270
244,1056,1045,283
245,713,707,256
245,790,785,282
245,1122,1108,290
245,1038,1027,271
245,1094,1081,284
246,529,526,257
246,1132,1113,283
246,591,587,286
246,275,273,273
246,288,287,287
247,260,259,259
247,791,786,285
247,291,290,290
247,1076,1063,275
247,912,904,288
248,529,526,259
248,794,788,288
248,593,590,290
248,275,274,274
248,579,576,290
249,259,258,258
249,595,591,290
249,593,590,293
249,557,553,277
249,779,774,292
250,526,523,259
250,294,292,292
250,1137,1121,294
250,557,553,279
250,780,774,293
251,262,261,261
251,293,292,292
251,921,913,296
251,964,955,280
251,296,295,295
252,828,820,262
252,791,785,292
252,299,298,298
252,282,281,281
252,296,295,295
253,524,521,262
253,295,293,293
253,301,299,299
253,557,554,282
253,902,895,295
254,265,263,263
254,789,784,296
254,299,298,298
254,1022,1011,283
254,777,771,296
255,698,693,266
255,907,900,298
255,596,592,300
255,556,553,285
255,299,298,298
256,270,268,268
256,302,300,300
256,787,782,302
256,557,553,286
256,776,771,299
257,1007,992,268
257,299,297,297
257,788,783,304
257,738,732,289
257,1038,1027,301
258,894,885,269
258,589,586,299
258,1012,1002,306
258,867,860,290
258,1128,1111,304
259,524,521,271
259,964,954,302
259,602,599,308
259,1159,1132,292
259,781,776,305
260,983,970,273
260,305,303,303
260,920,913,310
260,297,295,295
260,904,896,307
261,276,274,274
261,894,887,304
261,605,601,311
261,740,735,296
261,1077,1063,309
262,894,885,276
262,308,306,306
262,1010,1000,313
262,300,299,299
262,593,589,311
263,280,278,278
263,777,771,307
263,920,912,316
263,1155,1127,299
263,591,588,310
264,523,520,279
264,778,773,309
264,608,605,318
264,303,301,301
264,314,313,313
265,282,281,281
265,1045,1032,312
265,792,787,320
265,304,302,302
265,315,314,314
266,994,979,281
266,315,314,314
266,324,322,322
266,863,855,304
266,1120,1103,314
267,525,521,282
267,779,773,312
267,325,323,323
267,308,307,307
267,593,590,317
268,691,686,283
268,316,315,315
268,916,909,326
268,737,731,307
268,768,763,315
269,288,286,286
269,593,589,315
269,611,607,327
269,1148,1121,309
269,591,587,318
270,288,287,287
270,778,772,317
270,916,908,329
270,564,561,311
270,882,875,320
271,1002,984,286
271,885,877,319
271,332,331,331
271,1044,1030,312
271,590,586,321
272,290,289,289
272,323,322,322
272,1097,1083,331
272,1090,1073,313
272,323,322,322
273,291,290,290
273,323,322,322
273,335,333,333
273,565,561,315
273,879,871,323
274,803,796,291
274,323,322,322
274,789,783,333
274,564,561,315
274,587,584,321
275,294,292,292
275,595,592,324
275,338,336,336
275,560,557,313
275,761,756,324
276,294,293,293
276,773,767,324
276,614,610,337
276,729,723,315
276,589,586,324
277,524,520,293
277,327,326,326
277,613,610,338
277,932,923,317
277,326,325,325
278,296,294,294
278,877,869,327
278,342,341,341
278,562,559,319
278,1103,1084,326
279,525,521,296
279,330,329,329
279,1048,1036,341
279,559,556,319
279,762,756,328
280,299,298,298
280,596,593,328
280,343,342,342
280,1083,1063,320
280,762,757,331
281,795,787,301
281,590,587,325
281,343,342,342
281,322,321,321
281,595,591,331
282,301,300,300
282,973,962,327
282,989,980,342
282,1044,1029,320
282,872,865,332
283,302,301,301
283,592,589,328
283,346,344,344
283,324,322,322
283,762,756,334
284,303,302,302
284,589,585,330
284,783,778,347
284,723,717,324
284,339,337,337
285,867,857,301
285,588,584,330
285,780,774,348
285,838,831,325
285,763,758,338
286,304,303,303
286,757,752,332
286,353,351,351
286,321,320,320
286,341,340,340
287,949,935,304
287,588,585,332
287,351,350,350
287,321,320,320
287,598,595,340
288,529,525,307
288,334,332,332
288,352,351,351
288,554,550,320
288,342,341,341
289,868,859,308
289,337,335,335
289,1024,1012,352
289,831,823,322
289,344,343,343
290,987,968,309
290,742,737,335
290,611,607,354
290,325,323,323
290,598,595,343
291,531,528,310
291,338,336,336
291,611,608,355
291,717,711,324
291,346,345,345
292,314,312,312
292,338,337,337
292,356,355,355
292,326,325,325
292,1024,1010,345
293,317,315,315
293,339,338,338
293,1016,1005,356
293,828,821,326
293,938,929,347
294,685,680,316
294,971,957,339
294,888,881,357
294,557,554,328
294,602,598,350
295,319,317,317
295,581,577,340
295,1079,1059,359
295,908,898,328
295,863,856,351
296,322,320,320
296,338,337,337
296,605,601,354
296,719,714,331
296,759,754,352
297,686,681,322
297,953,940,338
297,358,356,356
297,333,331,331
297,354,353,353
298,685,680,322
298,341,340,340
298,359,357,357
298,558,555,332
298,605,601,354
299,536,532,324
299,724,719,339
299,762,756,358
299,717,712,334
299,358,356,356
